foundation_id	layer	source	data_block	assay_modality	specimen_type	sampling_context	stage_or_timepoint	n_profiles	query_unit	product_query_eligibility	current_state	priority	bridge_use	not_valid_as	next_action	source_url
REF_LEGACY_STEP1_TRAIN350K	reference	legacy BRIDGE derived asset	Step1 SCVI/SCANVI training reference	scRNA-seq	whole cells	derived_reference_train	225,552 Braun + 61,415 Zeng/wxq + all 63,033 legacy own	350000	stratified cell subset	reference_only	trained_model_input_ready	P0	actual old Step1 model input; 15 harmonized broad cell classes	independent validation or full reference census; additive to parent full reference	freeze selected obs names, model version and source/donor-aware resampling design	internal_step1_train_notebook_audit_2026-07-13
REF_LEGACY_STEP1_HOLDOUT100K	reference	legacy BRIDGE derived asset	random same-source Step1 holdout	scRNA-seq	whole cells	derived_reference_holdout	79,574 Braun + 20,426 Zeng/wxq; no Current_Study cells	100000	cell-level random holdout	reference_only	technical_holdout_ready	P1	internal label-prediction and software regression check	publication/donor-held-out validation; independent biological benchmark	relabel as technical holdout and build donor/publication-held-out validation cases	internal_step1_holdout_notebook_audit_2026-07-13
REF_LEGACY_STEP2_RGL523K	reference	legacy BRIDGE derived asset	regional radial-glia target reference used by old identity assessment	scRNA-seq	whole cells	derived_target_reference	11 RG subtypes across pallium/diencephalon/midbrain/hindbrain; target RG_Mesencephalon_FP	523478	cell in regional RG reference	reference_only	model_input_ready	P0	old Step2 target-versus-adjacent identity mapping and threshold calibration	independent external reference; direct potency or product-quality truth	freeze source composition and subtype ontology; rebuild non-circular train/calibration/test split	internal_ref_RG_notebook_audit_2026-07-13
Q_GSE204796	product_query	Xu/Chen	in-vitro mDA differentiation time course	scRNA-seq	whole cells	in_vitro_process_to_pretransplant	D8/D14/D21/D28/D35	37397	timepoint sample	eligible_after_timepoint_split	ready	P0	within-protocol trajectory; complete composition; D28/D35 candidate-product comparison	independent lots; efficacy truth; graft query	split five timepoints; pre-specify D28 or D35 for single-timepoint testing	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204796
Q_EMTAB14729	product_query	Studer/Tabar Boost and Boost+	in-vitro protocol-timepoint panel	scRNA-seq	whole cells	in_vitro_process_to_pretransplant	Boost/Boost+ x D16/D25/D40	26303	protocol x timepoint	eligible_after_group_split	ready	P0	protocol comparison; D16 progenitor window; maturation context	six independent products; graft query	split six groups and keep 1/9-month graft snRNA outside query pool	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-14729
Q_GSE200610_D16	product_query	Storm/Parmar RC17/STEM-PD	in-vitro VM-cell preparation	scRNA-seq	whole cells	in_vitro_pretransplant	D16; GSM6038985 and GSM6038986	8166	sample	eligible_by_context	ready	P0	clinical-related single-timepoint composition comparator	GMP lot; graft outcome; universal good-product label	retain only D16 VM cells; keep graft snRNA and progenitor multiome separate	https://pmc.ncbi.nlm.nih.gov/articles/PMC11488568/
Q_GSE227070	product_query	Denham LR-USC mDA	in-vitro cell-source/timepoint panel	scRNA-seq	whole cells	in_vitro_process_to_late_culture	H9/4X x day16/day28/day62	48196	cell source x timepoint	eligible_after_group_split	ready	P0	cell-source shift; stage comparison; cross-protocol generalization	one homogeneous product stage; direct clinical product truth	freeze six query units; separate day62 late-culture interpretation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227070
Q_GSE76381_ES	product_query	La Manno hESC mDA	in-vitro historical time course	scRNA-seq	whole cells	in_vitro_process_to_late_culture	day0/day12/day17/day35	1715	timepoint	eligible_after_timepoint_split	ready_small	P1	historical trajectory and platform robustness	large-sample validation; day0 product	split timepoints and retain low-power flag	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381
Q_GSE76381_IPS	product_query	La Manno iPS mDA	in-vitro iPS comparator	scRNA-seq	whole cells	in_vitro_late_culture	day42/day63	337	timepoint	eligible_low_power	ready_small	P2	fast smoke and cross-cell-source sanity	powered benchmark or rare-state evaluation	use only for smoke/robustness; report low power	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76381
Q_BRAINSTEM_JERBER	product_query	BrainSTEM Jerber	D30 iPSC DA differentiation	pending_source_audit	pending	in_vitro_candidate	D30	250923	publication/protocol/sample	pending_modality_and_context	readable_metadata_audit_pending	P1	cross-source composition and reference robustness	independent product before source dedup	freeze original assay modality; publication; sample and overlap metadata	BrainSTEM_source_manifest
Q_BRAINSTEM_EXPANSION	product_query	BrainSTEM multi-source	17 additional full source objects	pending_source_audit	pending	mixed_in_vitro	multiple studies/timepoints	1287037	publication/protocol/sample	pending_modality_and_context	readable_metadata_audit_pending	P2	leave-source-out expansion after dedup	17 independent products before audit	publication/sample dedup and assay-context freeze	BrainSTEM_source_manifest
Q_LEGACY_SPHEREDIFF	product_query	Chen SphereDiff; Zhang et al. 2025 study-linked	D28 downstream analysis object	scRNA-seq; upstream controlled HRA008865	whole cells	in_vitro_candidate	D28	9547	preparation	conditional_analysis_ready	upstream_count_ready_unavailable	P0	historical v1 comparison; visualization missing-state case	raw-count upload; publicly redistributable object; score truth	map exact HRA008865 sample to local object before count-ready use	https://doi.org/10.1016/j.stem.2025.10.001
Q_LEGACY_MACRODIFF	product_query	Chen lab internal MacroDiff	six cell-called captures across D14/D21/D28	scRNA-seq raw counts	whole cells	in_vitro_process_to_pretransplant	D14/D21/D28	78542	capture x timepoint	conditional_internal_only	count_ready_private_manifested	P0	realistic P0-01 upload validation; internal time-course context	six biological replicates; published dataset; public benchmark; score truth	retain six-capture map and 57464-cell v1 downstream comparison	internal_user_review_2026-08-28
Q_LEGACY_STUDERD16	product_query	local Studer-protocol D16	D16 cell-called matrix; published MSK-DA01 protocol context	scRNA-seq raw counts	whole cells	in_vitro_candidate	D16	11087	capture	conditional_private	count_ready_private_manifested	P0	realistic P0-01 MTX upload validation; published protocol context	paper-deposited dataset; independent preparation; efficacy or score truth	retain local provenance and 9046-cell v1 downstream comparison	https://doi.org/10.1016/j.stem.2021.01.004
C_GSE207921	calibration	You/Chen SISBAR	lineage experiments 1-3	scRNA-seq + SISBAR	whole cells	in_vitro_lineage_calibration	Stage I-IV; six sample-experiment groups	47155	stage x experiment	calibration_only	ready	P0	stage transition and lineage-state consistency	six independent products; GMP lots	freeze stage units and barcode-linked evidence table	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207921
C_GSE221592	calibration	You/Chen SISBAR	lineage replicates 2-3	scRNA-seq + SISBAR	whole cells	in_vitro_lineage_calibration	Stage I-IV; sixteen split objects	168805	stage x replicate x experiment	calibration_only	ready	P0	replicate-aware lineage and stage calibration	manufacturing lot validation	freeze sample hierarchy and avoid combined/sample double counting	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221592
C_GSE249360	calibration	LMX1A sorting/stress	BFP sorting and MPP stress boundary	single-cell RNA expression; source audit pending	whole cells	in_vitro_risk_calibration	NS/BFP-/BFP+ x basal/MPP 24h	1530	group	calibration_only	ready_small	P0	stress; sorting and risk-rule calibration	validated safety rule	freeze assay metadata and recalibrate old extreme off-target calls	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249360
N_GSE190729	negative_ood	public cerebral organoid	cerebral/cortical organoid	scRNA-seq	whole cells	negative_control	study-defined	17636	study/sample	control_only	ready	P0	cortical false-positive and OOD detection	PD product	freeze sample metadata and negative-control rationale	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190729
N_GSE267791	negative_ood	public motor neuron	motor neuron differentiation	scRNA-seq	whole cells	negative_control	study-defined	1341	study/sample	control_only	ready_small	P0	neuronal but non-mDA rejection	powered rare-state benchmark	retain low-power flag	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267791
N_GSE221853	negative_ood	public neural crest	neural crest/sympathoadrenal WT	scRNA-seq	whole cells	negative_control	D0-D28	29857	timepoint/sample	control_only	ready	P0	peripheral/neural-crest rejection	PD product or GMP batch	freeze timepoint units and avoid treating all cells as one sample	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221853
N_GSE224152	negative_ood	public bone-marrow MSC	mesenchymal severe off-lineage control	scRNA-seq	whole cells	negative_control	study-defined	1771	study/sample	control_only	ready_small	P0	non-neural severe off-lineage rejection	neural lineage comparison	retain low-power flag	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224152
N_EXPANDED	negative_ood	GSE129519/GSE188516/GSE86153/GSE86982	expanded cortical/spinal/whole-brain-organoid/neural controls	single-cell expression	whole cells	negative_control	multiple studies/timepoints	42365	publication/sample/timepoint	control_only	ready_grouped	P1	broader OOD and region-specific false-reassurance tests	one negative product or full study census	split by publication/sample/timepoint and freeze modalities	public_negative_inventory
O_GSE204796_GRAFT	outcome_context	Xu/Chen	post-transplant sorted/unsorted grafts	scRNA-seq	whole cells isolated from graft	posttransplant_graft	4 months		graft sample	context_only	source_available_not_in_query	P1	post-transplant composition and marker-outcome context	pre-transplant product query or direct product truth	build separate graft manifest and map to originating preparation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204796
O_GSE200610_GRAFT	outcome_context	Storm/Parmar	mature RC17/STEM-PD-related grafts	snRNA-seq	nuclei	posttransplant_graft	3/6 months	14414	animal/graft sample	context_only	converted_context	P0	post-transplant DA/astrocyte/VLMC composition and lineage context	D16 product query or direct D16 truth	build preparation-to-graft linkage table; retain animal as unit	https://pmc.ncbi.nlm.nih.gov/articles/PMC11488568/
O_EMTAB14729_GRAFT	outcome_context	Studer/Tabar Boost and Boost+	post-transplant Boost/Boost+ grafts	snRNA-seq	nuclei	posttransplant_graft	1/9 months		protocol x timepoint x graft	context_only	source_available_not_in_query	P0	post-transplant maturation; subtype and off-target context	pre-transplant product query or same-distribution comparator	build separate graft manifest and link to Boost/Boost+ D16 origin	https://www.jci.org/articles/view/190954
O_OTHER_GRAFT	outcome_context	GSE118412/GSE132758	graft summaries and supplementary archive	counts/RPKM/archive	mixed	posttransplant_context	study-defined		study/artifact	context_only	inspection_pending	P2	literature and composition context	unified single-cell input or outcome label	inspect sample-outcome structure and conversion feasibility	public_outcome_inventory
R_PD_MIDBRAIN_RESERVE	reserve	GSE168323/GSE192405/GSE183248/GSE264097/GSE281535	PD/midbrain reserve	mixed_or_pending	pending	mixed_reference_and_in_vitro	multiple		publication/sample	pending_role	conversion_or_curation_pending	P2	future reference robustness and perturbation expansion	current runnable or leakage-free case	separate reference/query blocks; convert; deduplicate	public_pd_reserve_inventory
R_NEGATIVE_RESERVE	reserve	GSE75140/GSE218457/GSE138002/GSE132672/GSE160625/GSE75748	negative/OOD reserve	mixed_or_pending	pending	negative_control_candidate	multiple		publication/sample	pending_role	conversion_pending	P2	future forebrain/retina/mesoderm/endoderm OOD expansion	current runnable case	convert and freeze sample-level metadata	public_negative_reserve_inventory
X_GSE216323	excluded	GSE216323	hPSC teratoma archive	scATAC-seq	chromatin fragments	not_scRNA_product_input	study-defined		study	excluded	deferred	P2	possible future multiome work	clean scRNA negative control	keep outside current BRIDGE transcriptomic product panel	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216323
